GMGI_ID,sampleID,Site,Section,Substrate,SampleType
SBNMS-FS-001-12S,C1a,C1,Central SB,Sediment,Sediment
SBNMS-FS-002-12S,C1b,C1,Central SB,Sediment,Sediment
SBNMS-FS-003-12S,C1c,C1,Central SB,Sediment,Sediment
SBNMS-FS-004-12S,C1-bottom,C1,Central SB,Water,Bottom Water
SBNMS-FS-005-12S,C1-surface,C1,Central SB,Water,Surface Water
SBNMS-FS-006-12S,C2a,C2,Central SB,Sediment,Sediment
SBNMS-FS-007-12S,C2b,C2,Central SB,Sediment,Sediment
SBNMS-FS-008-12S,C2c,C2,Central SB,Sediment,Sediment
SBNMS-FS-009-12S,C2-surface,C2,Central SB,Water,Surface Water
SBNMS-FS-010-12S,C3a,C3,Central SB,Sediment,Sediment
SBNMS-FS-011-12S,C3b,C3,Central SB,Sediment,Sediment
SBNMS-FS-012-12S,C3c,C3,Central SB,Sediment,Sediment
SBNMS-FS-013-12S,C3-surface,C3,Central SB,Water,Surface Water
SBNMS-FS-014-12S,C4a,C4,Central SB,Sediment,Sediment
SBNMS-FS-015-12S,C4b,C4,Central SB,Sediment,Sediment
SBNMS-FS-016-12S,C4c,C4,Central SB,Sediment,Sediment
SBNMS-FS-017-12S,C4-bottom,C4,Central SB,Water,Bottom Water
SBNMS-FS-018-12S,C4-surface,C4,Central SB,Water,Surface Water
SBNMS-FS-019-12S,C5a,C5,Central SB,Sediment,Sediment
SBNMS-FS-020-12S,C5b,C5,Central SB,Sediment,Sediment
SBNMS-FS-021-12S,C5c,C5,Central SB,Sediment,Sediment
SBNMS-FS-022-12S,C5-bottom,C5,Central SB,Water,Bottom Water
SBNMS-FS-023-12S,C5-surface,C5,Central SB,Water,Surface Water
SBNMS-FS-024-12S,C10-surface,C10,Central SB,Water,Surface Water
SBNMS-FS-025-12S,C10a,C10,Central SB,Sediment,Sediment
SBNMS-FS-026-12S,C10b,C10,Central SB,Sediment,Sediment
SBNMS-FS-027-12S,C10c,C10,Central SB,Sediment,Sediment
SBNMS-FS-028-12S,C11a,C11,Central SB,Sediment,Sediment
SBNMS-FS-029-12S,C11b,C11,Central SB,Sediment,Sediment
SBNMS-FS-030-12S,C11c,C11,Central SB,Sediment,Sediment
