sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
C1_bottom	93,700	NA	91,958	98.1%	91958	82105	80482	81741	76942	76903
C1_surface	83,038	NA	82,229	99.0%	82229	75234	74796	75097	72650	72650
C10_surface	151,479	NA	149,783	98.9%	149783	135713	132843	133974	124956	124956
C10a	72,926	NA	71,948	98.7%	71948	65673	65521	65538	61437	61437
C10b	64,564	NA	63,637	98.6%	63637	57841	57808	57788	57024	57024
C10c	108,626	NA	107,017	98.5%	107017	97380	96895	96867	89679	89679
C11_bottom	75,432	NA	74,756	99.1%	74756	68530	67841	68409	65213	65172
C11_surface	64,945	NA	64,467	99.3%	64467	59052	58755	58887	54972	54972
C11a	98,442	NA	97,080	98.6%	97080	88368	88330	88334	87734	87734
C11b	110,238	NA	108,720	98.6%	108720	98806	97971	98300	91178	91178
C11c	83,269	NA	82,113	98.6%	82113	74041	73335	73233	71874	71874
C12_bottom	54,667	NA	54,117	99.0%	54117	50277	49404	50138	47376	47361
C12_surface	64,944	NA	64,353	99.1%	64353	58581	57645	57607	51455	51455
C13_bottom	82,892	NA	82,148	99.1%	82148	74760	73947	74593	71533	71507
C13_surface	79,799	NA	79,114	99.1%	79114	71640	69384	70868	65858	65858
C13a	692	NA	683	98.7%	683	581	548	560	410	410
C13b	112,423	NA	111,301	99.0%	111301	99913	99058	99316	92123	92123
C13c	124,731	NA	123,423	99.0%	123423	112544	112484	112482	109934	109934
C14_bottom	71,719	NA	71,186	99.3%	71186	65365	64453	65234	62742	62715
C14_surface	70,496	NA	69,865	99.1%	69865	63718	63079	62525	55804	55804
C14a	105,449	NA	104,291	98.9%	104291	92944	92842	92866	83099	83099
C14b	362	NA	357	98.6%	357	316	280	300	217	217
C14c	134,018	NA	132,597	98.9%	132597	120338	120264	120304	119256	119256
C1a	61,585	NA	60,791	98.7%	60791	54362	53644	54051	50109	50109
C1b	280	NA	270	96.4%	270	242	220	231	160	160
C1c	68,116	NA	67,363	98.9%	67363	60954	60889	60904	54920	54920
C2_surface	161,701	NA	159,717	98.8%	159717	144635	143040	143933	131159	131159
C2a	70,162	NA	69,376	98.9%	69376	62851	62396	62603	59564	59564
C2b	72,158	NA	71,342	98.9%	71342	64472	64413	64424	62750	62750
C2c	285	NA	279	97.9%	279	242	207	211	165	165
C3_surface	137,673	NA	136,037	98.8%	136037	123765	122512	123005	112115	112115
C3a	15,148	NA	2,597	17.1%	2597	1567	1054	1011	576	576
C3b	87,117	NA	86,068	98.8%	86068	78866	78563	78776	75949	75949
C3c	78,873	NA	77,866	98.7%	77866	71440	71394	71408	70000	70000
C4_bottom	85,111	NA	84,133	98.9%	84133	76680	76043	76493	72796	72780
C4_surface	70,050	NA	69,183	98.8%	69183	63198	63094	63116	56542	56542
