File Name,27 AUG 24 PLATE 4.pcrd,,,,,
Created By User,NICOLE,,,,,
Notes,,,,,,
ID,27 AUG 24 PLATE 4,,,,,
Run Started,08/27/2024 20:31:05 UTC,,,,,
Run Ended,08/27/2024 22:04:09 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,SYBR,Library,Unkn,1/26/24_WIN_MIS,,
A02,SYBR,Library,Unkn,1/26/24_PWC_WHC,,
A03,SYBR,Library,Unkn,1/26/24_PWC_SBR,35.49,
A04,SYBR,Library,Unkn,1/26/24_PWC_PHR,37.39,
A05,SYBR,Library,Unkn,1/26/24_PWC_BBL,,
A06,SYBR,Library,Unkn,2/6/24_GWB_GDD,35.87,
A07,SYBR,Library,Unkn,2/6/24_GWB_APC,,
A08,SYBR,Library,Unkn,2/6/24_PVD_PSC,35.28,
A09,SYBR,Library,Unkn,2/6/24_PWX_PWX #1,,
A10,SYBR,Library,Unkn,2/6/24_Tap Blank #1,,
A11,SYBR,Library,Unkn,2/6/24_Tap Blank #2,31.77,
A12,SYBR,Library,NTC,Neg,,
B01,SYBR,Library,Unkn,1/26/24_WIN_MIS,,
B02,SYBR,Library,Unkn,1/26/24_PWC_WHC,38.18,
B03,SYBR,Library,Unkn,1/26/24_PWC_SBR,,
B04,SYBR,Library,Unkn,1/26/24_PWC_PHR,38.23,
B05,SYBR,Library,Unkn,1/26/24_PWC_BBL,,
B06,SYBR,Library,Unkn,2/6/24_GWB_GDD,32.94,
B07,SYBR,Library,Unkn,2/6/24_GWB_APC,,
B08,SYBR,Library,Unkn,2/6/24_PVD_PSC,39.68,
B09,SYBR,Library,Unkn,2/6/24_PWX_PWX #1,,
B10,SYBR,Library,Unkn,2/6/24_Tap Blank #1,,
B11,SYBR,Library,Unkn,2/6/24_Tap Blank #2,33.15,
B12,SYBR,Library,NTC,Neg,,
C01,SYBR,Library,Unkn,1/26/24_WIN_MIS,37.87,
C02,SYBR,Library,Unkn,1/26/24_PWC_WHC,35.00,
C03,SYBR,Library,Unkn,1/26/24_PWC_SBR,37.40,
