File Name,4 SEP 2024.pcrd,,,,,
Created By User,NICOLE,,,,,
Notes,,,,,,
ID,4 SEP 2024 ,,,,,
Run Started,09/04/2024 19:27:57 UTC,,,,,
Run Ended,09/04/2024 21:01:43 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,SYBR,Library,Unkn,5/28/24_SKR_SPC #2,,
A02,SYBR,Library,Unkn,5/28/24_PVD_IPP #1,,
A03,SYBR,Library,Unkn,5/28/24_PVD_IPP #2,,
A04,SYBR,Library,Unkn,5/28/24_WOO_DEM,,
A05,SYBR,Library,Unkn,5/28/24_PWX_PWX #1,36.22,
A06,SYBR,Library,Unkn,5/28/24_PWX_PWX #2,,
A07,SYBR,Library,Unkn,5/28/24_PWC_SBR #1,35.09,
A08,SYBR,Library,Unkn,5/28/24_PWC_SBR #2,36.48,
A09,SYBR,Library,Unkn,5/28/24_PWC_PHR #1,35.07,
A10,SYBR,Library,Unkn,5/28/24_PWC_PHR #2,35.05,
A11,SYBR,Library,Unkn,5/28/24_PWC_BBL #1,,
A12,SYBR,Library,NTC,Neg,,
B01,SYBR,Library,Unkn,5/28/24_SKR_SPC #2,,
B02,SYBR,Library,Unkn,5/28/24_PVD_IPP #1,37.56,
B03,SYBR,Library,Unkn,5/28/24_PVD_IPP #2,,
B04,SYBR,Library,Unkn,5/28/24_WOO_DEM,,
B05,SYBR,Library,Unkn,5/28/24_PWX_PWX #1,37.02,
B06,SYBR,Library,Unkn,5/28/24_PWX_PWX #2,,
B07,SYBR,Library,Unkn,5/28/24_PWC_SBR #1,35.34,
B08,SYBR,Library,Unkn,5/28/24_PWC_SBR #2,,
B09,SYBR,Library,Unkn,5/28/24_PWC_PHR #1,34.21,
B10,SYBR,Library,Unkn,5/28/24_PWC_PHR #2,37.77,
B11,SYBR,Library,Unkn,5/28/24_PWC_BBL #1,,
B12,SYBR,Library,NTC,Neg,,
C01,SYBR,Library,Unkn,5/28/24_SKR_SPC #2,,
C02,SYBR,Library,Unkn,5/28/24_PVD_IPP #1,,
C03,SYBR,Library,Unkn,5/28/24_PVD_IPP #2,37.80,
C04,SYBR,Library,Unkn,5/28/24_WOO_DEM,36.48,
C05,SYBR,Library,Unkn,5/28/24_PWX_PWX #1,,
C06,SYBR,Library,Unkn,5/28/24_PWX_PWX #2,,
C07,SYBR,Library,Unkn,5/28/24_PWC_SBR #1,33.65,
C08,SYBR,Library,Unkn,5/28/24_PWC_SBR #2,33.51,
C09,SYBR,Library,Unkn,5/28/24_PWC_PHR #1,36.99,
C10,SYBR,Library,Unkn,5/28/24_PWC_PHR #2,35.63,
C11,SYBR,Library,Unkn,5/28/24_PWC_BBL #1,,
C12,SYBR,Library,NTC,Neg,,
D01,SYBR,Library,Unkn,5/28/24_SKR_SPC #2,,
D02,SYBR,Library,Unkn,5/28/24_PVD_IPP #1,,
D03,SYBR,Library,Unkn,5/28/24_PVD_IPP #2,,
