sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
Aug_501_1_B	187,390	NA	186,225	99.4%	186225	185742	184434	185081	178784	178576
Aug_501_1_S	132,380	NA	131,747	99.5%	131747	131109	130476	130695	128870	128870
Aug_501_2_B	190,687	NA	189,700	99.5%	189700	188697	186806	187996	184032	183326
Aug_501_2_S	163,744	NA	161,589	98.7%	161589	158490	157613	158003	154023	154014
Aug_501_3_B	187,999	NA	186,603	99.3%	186603	186069	185767	185738	182206	182206
Aug_501_3_S	87,755	NA	84,764	96.6%	84764	69066	68582	68534	67599	67555
Aug_501_4_B	74,244	NA	73,586	99.1%	73586	73297	72921	72892	71319	71253
Aug_501_4_S	122,728	NA	121,837	99.3%	121837	121448	120474	121042	118461	118461
Aug_DI_Blank_1A	158,542	NA	157,302	99.2%	157302	156113	155507	155284	151436	151336
Aug_DI_Blank_2B	169,673	NA	168,848	99.5%	168848	164836	163874	164292	158252	158021
Aug_REV_02_B	202,205	NA	201,424	99.6%	201424	199209	198229	198423	191549	191231
Aug_REV_03_B	179,489	NA	175,989	98.1%	175989	175093	173828	174091	168472	168462
Aug_REV_04_B	166,460	NA	165,885	99.7%	165885	165143	164682	164692	161401	161309
Aug_REV_05_B	149,572	NA	147,910	98.9%	147910	145276	144507	144546	140492	140472
Aug_REV_07_B	165,797	NA	164,683	99.3%	164683	164089	163639	163706	160506	160309
Aug_REV_09_B	210,325	NA	205,631	97.8%	205631	202713	201008	201895	192918	192718
Aug_REV_11_B	219,479	NA	217,116	98.9%	217116	216300	215390	215617	210634	210589
Aug_REV_12_B	167,426	NA	166,704	99.6%	166704	166092	165786	165777	162348	159520
Aug_REV_13_B	156,312	NA	152,926	97.8%	152926	146414	145370	145692	142538	142205
Aug_REV_14_B	142,154	NA	141,411	99.5%	141411	139881	139335	139469	136596	136494
Aug_REV_15_B	141,152	NA	140,448	99.5%	140448	139686	139272	139170	136690	136533
Aug_REV_16_B	201,672	NA	200,621	99.5%	200621	198739	198087	198058	192902	191660
Aug_REV_17_B	186,925	NA	185,953	99.5%	185953	174728	174568	174569	171981	171904
Aug_REV_C1_B	131,953	NA	131,083	99.3%	131083	129326	128049	128989	125939	125939
Aug_REV_C2_B	174,403	NA	172,428	98.9%	172428	171885	171024	171455	166776	166403
Aug_REV_C3_B	84,473	NA	83,902	99.3%	83902	83120	80425	82549	77357	77275
Aug_REV_C4_B	156,220	NA	155,478	99.5%	155478	154788	154497	154486	151942	148278
Aug_REV_C5_B	137,248	NA	135,590	98.8%	135590	133989	133500	133791	130905	130899
Aug_REV_C6_B	156,683	NA	156,114	99.6%	156114	155244	155057	154943	151559	151543
Aug_SF_01_B	152,378	NA	151,637	99.5%	151637	149155	148291	148644	144464	144457
Aug_SF_01_S	204,663	NA	203,507	99.4%	203507	199404	198769	198835	193477	191522
Aug_SF_02_B	140,224	NA	139,592	99.5%	139592	139254	138763	138742	135776	135648
Aug_SF_02_S	197,494	NA	196,503	99.5%	196503	189250	187549	188350	181380	179344
Aug_SF_S3_B	113,973	NA	112,263	98.5%	112263	111266	109622	110288	106006	105914
Aug_SF_S3_S	186,630	NA	185,674	99.5%	185674	184545	183535	183922	178318	175885
Aug_VW_C1_B	110,112	NA	107,407	97.5%	107407	106060	105045	105628	103630	103418
Aug_VW_C1_S	148,737	NA	144,427	97.1%	144427	135605	134489	134712	130834	130803
Aug_VW_C2_B	149,755	NA	149,115	99.6%	149115	148039	147012	147307	144820	144808
Aug_VW_C2_S	192,331	NA	190,407	99.0%	190407	187366	186685	186786	184636	184364
Aug_VW_C3_B	131,852	NA	131,185	99.5%	131185	130832	129847	129610	125741	125407
Aug_VW_C3_S	120,336	NA	119,249	99.1%	119249	118293	117456	117581	114228	114228
Aug_VW_S5_B	159,888	NA	158,791	99.3%	158791	155835	155375	155407	153531	153531
Aug_VW_S5_S	111,728	NA	111,132	99.5%	111132	97209	97046	97037	96470	96470
Aug_VW_S6_B	147,988	NA	147,280	99.5%	147280	140661	140414	140471	137471	137056
Aug_VW_S7_B	190,689	NA	189,607	99.4%	189607	188642	186994	187455	182973	182776
Aug_VW_S7_S	111,673	NA	107,536	96.3%	107536	105604	104905	104712	102283	102100
July_501_1_B	41,587	NA	41,235	99.2%	41235	40240	40189	40121	39534	39534
July_501_1_S	43,185	NA	37,739	87.4%	37739	31652	31420	31353	29778	29778
July_501_2_B	46,977	NA	46,519	99.0%	46519	45901	45706	45768	44730	44688
July_501_2_S	24,915	NA	23,427	94.0%	23427	22913	22839	22826	21795	21795
July_501_3_B	34,114	NA	33,644	98.6%	33644	33455	33425	33413	32827	32827
July_501_3_S	50,530	NA	49,917	98.8%	49917	49036	48956	48894	47755	47755
July_501_4_B	42,154	NA	41,749	99.0%	41749	41317	41164	41155	40008	39959
July_501_4_S	48,161	NA	44,489	92.4%	44489	42583	42312	42244	39873	39804
July_DI_Blank_1_NA	44,766	NA	44,312	99.0%	44312	41451	41182	41324	39487	39485
July_DI_Blank_2_NA	118	NA	116	98.3%	116	115	106	110	78	78
July_REV_01_B	60,841	NA	60,319	99.1%	60319	59811	59765	59753	58472	58472
July_REV_02_B	56,882	NA	56,311	99.0%	56311	56058	56013	55997	55030	55029
July_REV_03_B	46,986	NA	46,624	99.2%	46624	46240	46223	46214	45565	45565
July_REV_04_B	82,315	NA	81,672	99.2%	81672	81134	80991	80894	78654	78570
July_REV_05_B	44,913	NA	44,589	99.3%	44589	44457	44443	44431	43916	43916
July_REV_06_B	48,547	NA	48,227	99.3%	48227	48054	47948	47828	46033	45925
July_REV_07_B	40,218	NA	39,908	99.2%	39908	39585	39300	39563	38657	38657
July_REV_08_B	36,221	NA	35,728	98.6%	35728	33640	33547	33444	32532	32532
July_REV_09_B	53,046	NA	52,641	99.2%	52641	52384	52339	52338	50049	50049
July_REV_10_B	24,809	NA	24,595	99.1%	24595	24283	24255	24199	23073	23073
July_REV_11_B	26,942	NA	26,762	99.3%	26762	26616	26596	26600	26131	26131
July_REV_12_B	45,700	NA	45,344	99.2%	45344	45167	45084	45136	43129	43129
July_REV_13_B	26,543	NA	26,346	99.3%	26346	25391	25373	25348	24976	24972
July_REV_14_B	53,570	NA	53,239	99.4%	53239	50718	50581	50557	49598	49598
July_REV_15_B	34,199	NA	33,942	99.2%	33942	33777	33710	33693	32924	32924
July_REV_16_B	47,564	NA	46,115	97.0%	46115	45269	45192	45211	44527	44527
July_REV_17_B	64,647	NA	64,047	99.1%	64047	63709	63488	63396	62228	62194
July_REV_C1_B	42,320	NA	41,922	99.1%	41922	41684	41648	41625	40249	40249
July_REV_C2_B	34,651	NA	34,036	98.2%	34036	33535	33497	33435	32613	32613
