Sample,% Dups,% GC,M Seqs
TDL-EC-49-12S_S175_L001_R1_001,95.44929841212837,48,0.038983,
TDL-EC-49-12S_S175_L001_R2_001,95.18251545545495,47,0.038983,
TDL-FS-1-12S_S235_L001_R1_001,97.46392060496626,47,0.073657,
TDL-FS-1-12S_S235_L001_R2_001,97.64584492987768,47,0.073657,
TDL-FS-10-12S_S244_L001_R1_001,98.76787856728812,45,0.074181,
TDL-FS-10-12S_S244_L001_R2_001,98.94582170636686,45,0.074181,
TDL-FS-11-12S_S245_L001_R1_001,98.67750977063677,46,0.07599299999999999,
TDL-FS-11-12S_S245_L001_R2_001,98.94990328056531,46,0.07599299999999999,
TDL-FS-12-12S_S246_L001_R1_001,99.01299280655775,45,0.07173199999999999,
TDL-FS-12-12S_S246_L001_R2_001,99.21513411029945,45,0.07173199999999999,
TDL-FS-13-12S_S247_L001_R1_001,46.15384615384615,49,0.000026,
TDL-FS-13-12S_S247_L001_R2_001,65.38461538461539,49,0.000026,
TDL-FS-14-12S_S248_L001_R1_001,98.21271091774943,47,0.085045,
TDL-FS-14-12S_S248_L001_R2_001,98.36321947204421,47,0.085045,
TDL-FS-15-12S_S249_L001_R1_001,98.22490741087127,47,0.10692399999999999,
TDL-FS-15-12S_S249_L001_R2_001,98.76173730874265,47,0.10692399999999999,
TDL-FS-16-12S_S250_L001_R1_001,98.59152927799886,47,0.07035999999999999,
TDL-FS-16-12S_S250_L001_R2_001,98.75639567936328,47,0.07035999999999999,
TDL-FS-17-12S_S251_L001_R1_001,98.68668702162365,47,0.047818,
TDL-FS-17-12S_S251_L001_R2_001,98.51729474256557,47,0.047818,
TDL-FS-18-12S_S252_L001_R1_001,98.21600333932234,47,0.055101,
TDL-FS-18-12S_S252_L001_R2_001,98.52997223280884,47,0.055101,
TDL-FS-19-12S_S253_L001_R1_001,96.94132334581772,49,0.041652,
TDL-FS-19-12S_S253_L001_R2_001,97.5511380005762,49,0.041652,
TDL-FS-2-12S_S236_L001_R1_001,97.31662790406882,49,0.039986999999999995,
TDL-FS-20-12S_S254_L001_R1_001,95.18807184005422,48,0.014754999999999999,
TDL-FS-20-12S_S254_L001_R2_001,95.4794984750932,48,0.014754999999999999,
TDL-FS-21-12S_S255_L001_R1_001,96.24405166553365,48,0.035303999999999995,
TDL-FS-21-12S_S255_L001_R2_001,97.37423521414004,48,0.035303999999999995,
TDL-FS-22-12S_S256_L001_R2_001,97.41163870046412,50,0.044815999999999995,
TDL-FS-23-12S_S257_L001_R1_001,96.83914774057598,48,0.068336,
TDL-FS-23-12S_S257_L001_R2_001,97.50058534301101,49,0.068336,
TDL-FS-24-12S_S258_L001_R1_001,97.06618148737776,49,0.074749,
TDL-FS-24-12S_S258_L001_R2_001,96.70229702069592,49,0.074749,
TDL-FS-25-12S_S259_L001_R1_001,97.85413974482645,49,0.054943,
TDL-FS-25-12S_S259_L001_R2_001,98.05252716451595,49,0.054943,
TDL-FS-26-12S_S260_L001_R1_001,97.22603875491544,50,0.042214,
TDL-FS-26-12S_S260_L001_R2_001,97.51504240299427,50,0.042214,
TDL-FS-27-12S_S261_L001_R1_001,97.64216366158114,49,0.049027999999999995,
TDL-FS-27-12S_S261_L001_R2_001,98.10312474504364,50,0.049027999999999995,
TDL-FS-28-12S_S262_L001_R1_001,97.01794894136098,49,0.045908,
TDL-FS-28-12S_S262_L001_R2_001,97.25973686503441,49,0.045908,
TDL-FS-29-12S_S263_L001_R1_001,97.7893523120353,48,0.050302,
TDL-FS-29-12S_S263_L001_R2_001,98.13725100393623,48,0.050302,
TDL-FS-3-12S_S237_L001_R1_001,98.28287532991772,47,0.06441,
TDL-FS-3-12S_S237_L001_R2_001,98.56854525694767,47,0.06441,
TDL-FS-30-12S_S264_L001_R1_001,97.76609437378652,50,0.045839,
TDL-FS-30-12S_S264_L001_R2_001,97.73773424376623,50,0.045839,
TDL-FS-31-12S_S265_L001_R1_001,95.82454469166044,49,0.044091,
TDL-FS-31-12S_S265_L001_R2_001,95.51155564627702,48,0.044091,
TDL-FS-32-12S_S266_L001_R1_001,97.78376375349183,47,0.07016399999999999,
TDL-FS-32-12S_S266_L001_R2_001,97.92628698477851,47,0.07016399999999999,
TDL-FS-33-12S_S267_L001_R1_001,96.55530721875857,48,0.051005999999999996,
TDL-FS-33-12S_S267_L001_R2_001,97.01603732894169,48,0.051005999999999996,
TDL-FS-34-12S_S268_L001_R1_001,97.32516349496258,49,0.067892,
TDL-FS-34-12S_S268_L001_R2_001,97.53726506804925,49,0.067892,
TDL-FS-35-12S_S269_L001_R1_001,97.37919737919738,48,0.040292999999999995,
TDL-FS-35-12S_S269_L001_R2_001,97.47102474375201,48,0.040292999999999995,
TDL-FS-36-12S_S270_L001_R1_001,97.20160603479742,49,0.041095,
TDL-FS-37-12S_S271_L001_R1_001,96.40600933098199,47,0.044797,
TDL-FS-37-12S_S271_L001_R2_001,96.42609996205103,47,0.044797,
TDL-FS-38-12S_S272_L001_R1_001,95.88372649982038,47,0.033403999999999996,
TDL-FS-38-12S_S272_L001_R2_001,96.46748892348222,47,0.033403999999999996,
TDL-FS-39-12S_S273_L001_R1_001,96.29121417650057,48,0.051014,
TDL-FS-39-12S_S273_L001_R2_001,95.86584074959815,47,0.051014,
TDL-FS-4-12S_S238_L001_R1_001,97.83393501805054,47,0.038779999999999995,
TDL-FS-4-12S_S238_L001_R2_001,98.06343476018566,47,0.038779999999999995,
TDL-FS-40-12S_S177_L001_R1_001,96.16594471947195,47,0.038784,
TDL-FS-40-12S_S177_L001_R2_001,97.15346534653466,47,0.038784,
TDL-FS-42-12S_S179_L001_R1_001,96.05366389455516,47,0.038238,
TDL-FS-42-12S_S179_L001_R2_001,96.95329253622052,47,0.038238,
TDL-FS-43-12S_S180_L001_R1_001,97.09258863733447,49,0.037455999999999996,
TDL-FS-43-12S_S180_L001_R2_001,97.4316531396839,49,0.037455999999999996,
TDL-FS-44-12S_S181_L001_R1_001,96.49342741502203,49,0.027919,
TDL-FS-44-12S_S181_L001_R2_001,96.65818976324367,49,0.027919,
TDL-FS-45-12S_S182_L001_R1_001,96.67377628985663,47,0.037038999999999996,
TDL-FS-45-12S_S182_L001_R2_001,97.55932935554415,47,0.037038999999999996,
TDL-FS-46-12S_S183_L001_R2_001,96.3887015808796,46,0.026694,
TDL-FS-47-12S_S184_L001_R1_001,94.85302593659942,47,0.0347,
TDL-FS-47-12S_S184_L001_R2_001,94.3342939481268,47,0.0347,
TDL-FS-48-12S_S176_L001_R1_001,95.48208542149749,48,0.053475999999999996,
TDL-FS-48-12S_S176_L001_R2_001,95.45216545740145,48,0.053475999999999996,
TDL-FS-5-12S_S239_L001_R1_001,98.01572853710041,47,0.054931999999999995,
TDL-FS-5-12S_S239_L001_R2_001,98.26330736182918,47,0.054931999999999995,
TDL-FS-6-12S_S240_L001_R1_001,98.4073402135443,47,0.067246,
TDL-FS-6-12S_S240_L001_R2_001,98.77613538351723,47,0.067246,
TDL-FS-7-12S_S241_L001_R1_001,98.84473147370373,45,0.091667,
TDL-FS-7-12S_S241_L001_R2_001,98.97782189882946,45,0.091667,
TDL-FS-8-12S_S242_L001_R1_001,98.61803450604071,46,0.06961099999999999,
TDL-FS-8-12S_S242_L001_R2_001,98.9082185286808,46,0.06961099999999999,
TDL-FS-9-12S_S243_L001_R1_001,98.6761406133134,47,0.06684999999999999,
TDL-FS-9-12S_S243_L001_R2_001,98.95437546746447,47,0.06684999999999999,
