File Name,28 AUG 24.pcrd,,,,,
Created By User,NICOLE,,,,,
Notes,,,,,,
ID,28 AUG 24,,,,,
Run Started,08/28/2024 13:50:06 UTC,,,,,
Run Ended,08/28/2024 15:23:54 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2,,
A02,SYBR,Library,Unkn,2/6/24_PVD_SVB,35.92,
A03,SYBR,Library,Unkn,2/6/24_WOO_DEM,,
A04,SYBR,Library,Unkn,2/6/24_MHR_STS #1,,
A05,SYBR,Library,Unkn,2/6/24_MHR_STS #2,,
A06,SYBR,Library,Unkn,2/6/24_PVD_IPP,,
A07,SYBR,Library,Unkn,2/6/24_SKR_SPC,,
A08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1,,
A09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2,,
A10,SYBR,Library,Unkn,2/7/24_Tap Blank #1,,
A11,SYBR,Library,Unkn,2/7/24_Tap Blank #2,,
A12,SYBR,Library,NTC,Neg,,
B01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2,,
B02,SYBR,Library,Unkn,2/6/24_PVD_SVB,37.05,
B03,SYBR,Library,Unkn,2/6/24_WOO_DEM,,
B04,SYBR,Library,Unkn,2/6/24_MHR_STS #1,,
B05,SYBR,Library,Unkn,2/6/24_MHR_STS #2,,
B06,SYBR,Library,Unkn,2/6/24_PVD_IPP,,
B07,SYBR,Library,Unkn,2/6/24_SKR_SPC,,
B08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1,,
B09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2,,
B10,SYBR,Library,Unkn,2/7/24_Tap Blank #1,,
B11,SYBR,Library,Unkn,2/7/24_Tap Blank #2,38.10,
B12,SYBR,Library,NTC,Neg,,
C01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2,,
C02,SYBR,Library,Unkn,2/6/24_PVD_SVB,37.24,
C03,SYBR,Library,Unkn,2/6/24_WOO_DEM,,
C04,SYBR,Library,Unkn,2/6/24_MHR_STS #1,,
C05,SYBR,Library,Unkn,2/6/24_MHR_STS #2,,
C06,SYBR,Library,Unkn,2/6/24_PVD_IPP,,
C07,SYBR,Library,Unkn,2/6/24_SKR_SPC,,
C08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1,,
C09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2,,
C10,SYBR,Library,Unkn,2/7/24_Tap Blank #1,,
C11,SYBR,Library,Unkn,2/7/24_Tap Blank #2,39.35,
C12,SYBR,Library,NTC,Neg,37.62,
D01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2,,
D02,SYBR,Library,Unkn,2/6/24_PVD_SVB,35.98,
D03,SYBR,Library,Unkn,2/6/24_WOO_DEM,,
D04,SYBR,Library,Unkn,2/6/24_MHR_STS #1,,
D05,SYBR,Library,Unkn,2/6/24_MHR_STS #2,,
D06,SYBR,Library,Unkn,2/6/24_PVD_IPP,,
D07,SYBR,Library,Unkn,2/6/24_SKR_SPC,,
D08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1,,
D09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2,,
D10,SYBR,Library,Unkn,2/7/24_Tap Blank #1,,
D11,SYBR,Library,Unkn,2/7/24_Tap Blank #2,,
D12,SYBR,Library,NTC,Neg,,
E01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2,,
E02,SYBR,Library,Unkn,2/6/24_PVD_SVB,35.39,
E03,SYBR,Library,Unkn,2/6/24_WOO_DEM,,
E04,SYBR,Library,Unkn,2/6/24_MHR_STS #1,,
E05,SYBR,Library,Unkn,2/6/24_MHR_STS #2,,
E06,SYBR,Library,Unkn,2/6/24_PVD_IPP,,
E07,SYBR,Library,Unkn,2/6/24_SKR_SPC,39.06,
E08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1,,
E09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2,,
E10,SYBR,Library,Unkn,2/7/24_Tap Blank #1,,
E11,SYBR,Library,Unkn,2/7/24_Tap Blank #2,,
E12,SYBR,Library,NTC,Neg,,
F01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2,,
F02,SYBR,Library,Unkn,2/6/24_PVD_SVB,36.11,
F03,SYBR,Library,Unkn,2/6/24_WOO_DEM,,
F04,SYBR,Library,Unkn,2/6/24_MHR_STS #1,,
F05,SYBR,Library,Unkn,2/6/24_MHR_STS #2,,
F06,SYBR,Library,Unkn,2/6/24_PVD_IPP,,
F07,SYBR,Library,Unkn,2/6/24_SKR_SPC,,
F08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1,,
F09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2,,
F10,SYBR,Library,Unkn,2/7/24_Tap Blank #1,,
F11,SYBR,Library,Unkn,2/7/24_Tap Blank #2,37.31,
F12,SYBR,Library,NTC,Neg,,
G01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2 spike,10.43,
G02,SYBR,Library,Unkn,2/6/24_PVD_SVB spike,10.30,
G03,SYBR,Library,Unkn,2/6/24_WOO_DEM spike,10.25,
G04,SYBR,Library,Unkn,2/6/24_MHR_STS #1 spike,10.41,
G05,SYBR,Library,Unkn,2/6/24_MHR_STS #2 spike,10.96,
G06,SYBR,Library,Unkn,2/6/24_PVD_IPP spike,10.28,
G07,SYBR,Library,Unkn,2/6/24_SKR_SPC spike,10.35,
G08,SYBR,Library,Unkn,2/7/24_TNT_FGC #1 spike,10.34,
G09,SYBR,Library,Unkn,2/7/24_TNT_FGC #2 spike,10.30,
G10,SYBR,Library,Unkn,2/7/24_Tap Blank #1 spike,10.28,
G11,SYBR,Library,Unkn,2/7/24_Tap Blank #2 spike,10.36,
G12,SYBR,Library,Pos Ctrl,Pos,10.58,
H01,SYBR,Library,Unkn,2/6/24_PWX_PWX #2 spike,11.00,
H02,SYBR,Library,Unkn,2/6/24_PVD_SVB spike,10.64,
H03,SYBR,Library,Unkn,2/6/24_WOO_DEM spike,10.63,
H04,SYBR,Library,Unkn,2/6/24_MHR_STS #1 spike,10.94,
